runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.203,0.258,0.234,0.248
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.2,0.254,0.233,0.25
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.199,0.26,0.244,0.28400000000000003
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.213,0.263,0.247,0.292
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.201,0.266,0.246,0.289
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.21,0.257,0.23900000000000002,0.275
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.209,0.267,0.249,0.302
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.20400000000000001,0.264,0.241,0.28500000000000003
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.20800000000000002,0.261,0.249,0.28600000000000003
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.20400000000000001,0.258,0.243,0.275
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.20800000000000002,0.264,0.245,0.275
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.199,0.253,0.246,0.264
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.201,0.252,0.248,0.258
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.188,0.255,0.23,0.261
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.195,0.253,0.242,0.27
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.195,0.242,0.23500000000000001,0.27
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.20600000000000002,0.252,0.23700000000000002,0.253
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.198,0.253,0.23900000000000002,0.28
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.197,0.242,0.23500000000000001,0.257
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.196,0.255,0.23500000000000001,0.265
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.194,0.259,0.24,0.28
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.195,0.248,0.23800000000000002,0.27
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.187,0.261,0.23800000000000002,0.277
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.19,0.256,0.23900000000000002,0.279
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.194,0.251,0.244,0.271
1p46G-gemma-aquila-zh-29BT,6,8000,16.777216,0.19,0.257,0.234,0.28200000000000003
1p46G-gemma-aquila-zh-29BT,6,8500,17.825792,0.199,0.254,0.234,0.28500000000000003
1p46G-gemma-aquila-zh-29BT,6,9000,18.874368,0.201,0.255,0.247,0.28300000000000003
1p46G-gemma-aquila-zh-29BT,6,9500,19.922944,0.20700000000000002,0.273,0.25,0.29
1p46G-gemma-orion-zh-29BT,6,0,0.0,0.203,0.258,0.234,0.248
1p46G-gemma-orion-zh-29BT,6,1000,2.097152,0.20500000000000002,0.254,0.229,0.23900000000000002
1p46G-gemma-orion-zh-29BT,6,10000,20.97152,0.203,0.263,0.251,0.249
1p46G-gemma-orion-zh-29BT,6,10500,22.020096,0.21,0.261,0.245,0.257
1p46G-gemma-orion-zh-29BT,6,11000,23.068672,0.20800000000000002,0.255,0.25,0.258
1p46G-gemma-orion-zh-29BT,6,11500,24.117248,0.199,0.25,0.246,0.253
1p46G-gemma-orion-zh-29BT,6,12000,25.165824,0.20500000000000002,0.258,0.251,0.247
1p46G-gemma-orion-zh-29BT,6,12500,26.2144,0.20400000000000001,0.262,0.248,0.259
1p46G-gemma-orion-zh-29BT,6,13000,27.262976,0.20400000000000001,0.256,0.25,0.265
1p46G-gemma-orion-zh-29BT,6,13500,28.311552,0.202,0.262,0.23900000000000002,0.247
1p46G-gemma-orion-zh-29BT,6,14000,29.360128,0.201,0.259,0.247,0.256
1p46G-gemma-orion-zh-29BT,6,1500,3.145728,0.197,0.23800000000000002,0.223,0.248
1p46G-gemma-orion-zh-29BT,6,2000,4.194304,0.187,0.225,0.228,0.232
1p46G-gemma-orion-zh-29BT,6,2500,5.24288,0.203,0.23700000000000002,0.228,0.257
1p46G-gemma-orion-zh-29BT,6,3000,6.291456,0.194,0.24,0.224,0.253
1p46G-gemma-orion-zh-29BT,6,3500,7.340032,0.2,0.26,0.23600000000000002,0.23
1p46G-gemma-orion-zh-29BT,6,4000,8.388608,0.2,0.246,0.225,0.23
1p46G-gemma-orion-zh-29BT,6,4500,9.437184,0.20700000000000002,0.25,0.23800000000000002,0.23700000000000002
1p46G-gemma-orion-zh-29BT,6,500,1.048576,0.213,0.251,0.233,0.25
1p46G-gemma-orion-zh-29BT,6,5000,10.48576,0.20600000000000002,0.255,0.24,0.242
1p46G-gemma-orion-zh-29BT,6,5500,11.534336,0.202,0.244,0.23900000000000002,0.231
1p46G-gemma-orion-zh-29BT,6,6000,12.582912,0.203,0.257,0.243,0.225
1p46G-gemma-orion-zh-29BT,6,6500,13.631488,0.214,0.246,0.246,0.227
1p46G-gemma-orion-zh-29BT,6,7000,14.680064,0.202,0.252,0.23500000000000001,0.246
1p46G-gemma-orion-zh-29BT,6,7500,15.72864,0.203,0.256,0.244,0.242
1p46G-gemma-orion-zh-29BT,6,8000,16.777216,0.202,0.257,0.241,0.245
1p46G-gemma-orion-zh-29BT,6,8500,17.825792,0.195,0.246,0.23500000000000001,0.25
1p46G-gemma-orion-zh-29BT,6,9000,18.874368,0.209,0.256,0.241,0.252
1p46G-gemma-orion-zh-29BT,6,9500,19.922944,0.21,0.252,0.242,0.25
baseline-zh-,42,0,0.0,0.2501566952,0.2501566952,0.2501566952,0.2501566952
1p46G-gemma-lynx-zh-29BT,6,0,0.0,0.203,0.258,0.234,0.248
1p46G-gemma-lynx-zh-29BT,6,1000,2.097152,0.219,0.271,0.248,0.254
1p46G-gemma-lynx-zh-29BT,6,10000,20.97152,0.2,0.252,0.252,0.268
1p46G-gemma-lynx-zh-29BT,6,10500,22.020096,0.19,0.248,0.243,0.26
1p46G-gemma-lynx-zh-29BT,6,11000,23.068672,0.196,0.25,0.246,0.261
1p46G-gemma-lynx-zh-29BT,6,11500,24.117248,0.192,0.244,0.23500000000000001,0.261
1p46G-gemma-lynx-zh-29BT,6,12000,25.165824,0.191,0.23600000000000002,0.23900000000000002,0.261
1p46G-gemma-lynx-zh-29BT,6,12500,26.2144,0.188,0.24,0.241,0.259
1p46G-gemma-lynx-zh-29BT,6,13000,27.262976,0.192,0.23700000000000002,0.23600000000000002,0.259
1p46G-gemma-lynx-zh-29BT,6,13500,28.311552,0.186,0.232,0.229,0.259
1p46G-gemma-lynx-zh-29BT,6,14000,29.360128,0.189,0.241,0.23800000000000002,0.25
1p46G-gemma-lynx-zh-29BT,6,1500,3.145728,0.20400000000000001,0.276,0.253,0.277
1p46G-gemma-lynx-zh-29BT,6,2000,4.194304,0.193,0.255,0.251,0.247
1p46G-gemma-lynx-zh-29BT,6,2500,5.24288,0.191,0.23800000000000002,0.23900000000000002,0.272
1p46G-gemma-lynx-zh-29BT,6,3000,6.291456,0.212,0.263,0.257,0.26
1p46G-gemma-lynx-zh-29BT,6,3500,7.340032,0.20500000000000002,0.255,0.246,0.246
1p46G-gemma-lynx-zh-29BT,6,4000,8.388608,0.193,0.252,0.231,0.257
1p46G-gemma-lynx-zh-29BT,6,4500,9.437184,0.198,0.262,0.23600000000000002,0.251
1p46G-gemma-lynx-zh-29BT,6,500,1.048576,0.20500000000000002,0.249,0.23800000000000002,0.244
1p46G-gemma-lynx-zh-29BT,6,5000,10.48576,0.184,0.247,0.225,0.265
1p46G-gemma-lynx-zh-29BT,6,5500,11.534336,0.21,0.262,0.251,0.261
1p46G-gemma-lynx-zh-29BT,6,6000,12.582912,0.199,0.261,0.249,0.256
1p46G-gemma-lynx-zh-29BT,6,6500,13.631488,0.192,0.262,0.241,0.253
1p46G-gemma-lynx-zh-29BT,6,7000,14.680064,0.196,0.247,0.241,0.254
1p46G-gemma-lynx-zh-29BT,6,7500,15.72864,0.20800000000000002,0.254,0.23700000000000002,0.256
1p46G-gemma-lynx-zh-29BT,6,8000,16.777216,0.194,0.255,0.23500000000000001,0.243
1p46G-gemma-lynx-zh-29BT,6,8500,17.825792,0.196,0.248,0.23500000000000001,0.261
1p46G-gemma-lynx-zh-29BT,6,9000,18.874368,0.187,0.241,0.23800000000000002,0.255
1p46G-gemma-lynx-zh-29BT,6,9500,19.922944,0.202,0.25,0.244,0.261
1p46G-gemma-commoncrawl-zh-29BT,5,0,0.0,0.23500000000000001,0.274,0.268,0.249
1p46G-gemma-commoncrawl-zh-29BT,5,1000,2.097152,0.195,0.242,0.22,0.246
1p46G-gemma-commoncrawl-zh-29BT,5,10000,20.97152,0.198,0.252,0.22,0.253
1p46G-gemma-commoncrawl-zh-29BT,5,10500,22.020096,0.21,0.258,0.217,0.251
1p46G-gemma-commoncrawl-zh-29BT,5,11000,23.068672,0.203,0.255,0.217,0.255
1p46G-gemma-commoncrawl-zh-29BT,5,11500,24.117248,0.202,0.247,0.219,0.252
1p46G-gemma-commoncrawl-zh-29BT,5,12000,25.165824,0.20600000000000002,0.256,0.218,0.262
1p46G-gemma-commoncrawl-zh-29BT,5,12500,26.2144,0.20600000000000002,0.253,0.22,0.255
1p46G-gemma-commoncrawl-zh-29BT,5,13000,27.262976,0.201,0.251,0.227,0.249
1p46G-gemma-commoncrawl-zh-29BT,5,13500,28.311552,0.202,0.253,0.222,0.265
1p46G-gemma-commoncrawl-zh-29BT,5,14000,29.360128,0.198,0.256,0.227,0.256
1p46G-gemma-commoncrawl-zh-29BT,5,1500,3.145728,0.188,0.227,0.228,0.258
1p46G-gemma-commoncrawl-zh-29BT,5,2000,4.194304,0.196,0.23900000000000002,0.233,0.23700000000000002
1p46G-gemma-commoncrawl-zh-29BT,5,2500,5.24288,0.191,0.247,0.22,0.254
1p46G-gemma-commoncrawl-zh-29BT,5,3000,6.291456,0.193,0.267,0.245,0.259
1p46G-gemma-commoncrawl-zh-29BT,5,3500,7.340032,0.195,0.244,0.23500000000000001,0.252
1p46G-gemma-commoncrawl-zh-29BT,5,4000,8.388608,0.20400000000000001,0.249,0.227,0.26
1p46G-gemma-commoncrawl-zh-29BT,5,4500,9.437184,0.198,0.264,0.233,0.23600000000000002
1p46G-gemma-commoncrawl-zh-29BT,5,500,1.048576,0.201,0.241,0.234,0.23800000000000002
1p46G-gemma-commoncrawl-zh-29BT,5,5000,10.48576,0.195,0.23900000000000002,0.227,0.23500000000000001
1p46G-gemma-commoncrawl-zh-29BT,5,5500,11.534336,0.21,0.256,0.226,0.223
1p46G-gemma-commoncrawl-zh-29BT,5,6000,12.582912,0.199,0.259,0.225,0.246
