runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.262,0.242,0.249,0.247
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.28600000000000003,0.28,0.305,0.302
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.318,0.34700000000000003,0.34800000000000003,0.331
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.32,0.34900000000000003,0.357,0.35000000000000003
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.322,0.339,0.357,0.352
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.327,0.34600000000000003,0.355,0.34400000000000003
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.32,0.34,0.353,0.34800000000000003
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.33,0.352,0.353,0.34500000000000003
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.324,0.343,0.355,0.35000000000000003
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.326,0.353,0.355,0.355
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.326,0.342,0.34900000000000003,0.34400000000000003
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.29,0.307,0.315,0.327
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.297,0.307,0.331,0.327
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.301,0.312,0.316,0.336
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.294,0.309,0.341,0.34700000000000003
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.303,0.323,0.34400000000000003,0.33
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.317,0.327,0.337,0.336
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.309,0.33,0.33,0.325
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.273,0.264,0.269,0.263
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.309,0.338,0.35100000000000003,0.33
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.308,0.336,0.343,0.336
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.31,0.339,0.34,0.34
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.318,0.338,0.335,0.34600000000000003
