runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.2281096055,0.2500049897,0.2480632778,0.2402427684
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.23362622870000002,0.252001874,0.2550712616,0.2584801023
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.24708111970000002,0.26860487580000003,0.2675567125,0.289146915
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.24753660970000002,0.27048213720000003,0.2686116293,0.28798918230000004
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.2446595527,0.2679576335,0.26556116750000003,0.28806968250000003
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.24876091790000002,0.2703991293,0.2664571376,0.28648051900000004
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.24780578690000002,0.2729322651,0.27026653,0.2934306868
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.2478479235,0.2686788958,0.2666825588,0.2895877839
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.24729213560000002,0.2699949904,0.2663073147,0.2907991082
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.2442944176,0.2689004768,0.2669251247,0.2933575395
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.2453087177,0.2668396662,0.26544865500000003,0.2936524083
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.2372770248,0.2598003532,0.2587293599,0.2689934403
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.2402222139,0.2586382875,0.2621914415,0.2738897248
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.2418238829,0.2635553651,0.2595271288,0.27584160020000004
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.24398227960000002,0.2682277046,0.2629616759,0.2751880862
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.2449734002,0.2626253133,0.2595997022,0.2811750624
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.2430828449,0.2633846579,0.2595841398,0.2783930344
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.24795463850000002,0.2673918811,0.2647514107,0.2822458666
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.23103651220000002,0.2571929853,0.26098478010000004,0.2668381936
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.24674709350000001,0.2653062373,0.2651480284,0.2819323842
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.2464927332,0.2630782265,0.2640491111,0.2825839727
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.24462844820000001,0.2672617639,0.2626000792,0.2803172162
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.2442688477,0.264865236,0.262904711,0.28521608190000003
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.24381348960000002,0.26751493060000003,0.2636128434,0.2856006445
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.2473060258,0.26803467070000003,0.2644622352,0.2881909609
1p46G-gemma-aquila-zh-29BT,6,8000,16.777216,0.2479820383,0.2679876048,0.2676080981,0.2874556186
1p46G-gemma-aquila-zh-29BT,6,8500,17.825792,0.2476121926,0.2655439229,0.2639354087,0.2884345736
1p46G-gemma-aquila-zh-29BT,6,9000,18.874368,0.2481124007,0.2668484796,0.26731796010000003,0.2866128403
1p46G-gemma-aquila-zh-29BT,6,9500,19.922944,0.2499958264,0.2724838458,0.2649228644,0.2892774708
1p46G-gemma-orion-zh-29BT,6,0,0.0,0.2281096055,0.2500049897,0.2480632778,0.2402427684
1p46G-gemma-orion-zh-29BT,6,1000,2.097152,0.2276235396,0.2488974058,0.2522715023,0.2542450297
1p46G-gemma-orion-zh-29BT,6,10000,20.97152,0.2364660678,0.2537049879,0.2595533025,0.2695809508
1p46G-gemma-orion-zh-29BT,6,10500,22.020096,0.2387859102,0.2582812655,0.2632941335,0.2660783672
1p46G-gemma-orion-zh-29BT,6,11000,23.068672,0.23916653910000002,0.2602560323,0.2625440422,0.2697767337
1p46G-gemma-orion-zh-29BT,6,11500,24.117248,0.23632964990000002,0.255214196,0.2600825185,0.26791129410000003
1p46G-gemma-orion-zh-29BT,6,12000,25.165824,0.2365616281,0.25635453210000003,0.259377736,0.270983912
1p46G-gemma-orion-zh-29BT,6,12500,26.2144,0.2397367624,0.25898589580000003,0.26099403400000004,0.2701288109
1p46G-gemma-orion-zh-29BT,6,13000,27.262976,0.23676197610000002,0.2566520043,0.2609110447,0.2708776611
1p46G-gemma-orion-zh-29BT,6,13500,28.311552,0.23988590010000002,0.2598975945,0.2625529014,0.2708885184
1p46G-gemma-orion-zh-29BT,6,14000,29.360128,0.2361099805,0.2579587664,0.2584775486,0.2712667629
1p46G-gemma-orion-zh-29BT,6,1500,3.145728,0.2353117803,0.2529978222,0.25391987380000003,0.2610922915
1p46G-gemma-orion-zh-29BT,6,2000,4.194304,0.23601020690000002,0.2529307056,0.2565468135,0.256763579
1p46G-gemma-orion-zh-29BT,6,2500,5.24288,0.2327704967,0.2497822654,0.2539169609,0.2635380175
1p46G-gemma-orion-zh-29BT,6,3000,6.291456,0.23595882440000002,0.2509258371,0.25834659120000003,0.26428840540000004
1p46G-gemma-orion-zh-29BT,6,3500,7.340032,0.2339949942,0.2509115317,0.2505837975,0.25960179710000003
1p46G-gemma-orion-zh-29BT,6,4000,8.388608,0.2355276083,0.2504039981,0.2548428695,0.2689403563
1p46G-gemma-orion-zh-29BT,6,4500,9.437184,0.2391947723,0.2565337263,0.25694424190000004,0.2677276977
1p46G-gemma-orion-zh-29BT,6,500,1.048576,0.23095320330000002,0.2496721074,0.2544365169,0.2749481636
1p46G-gemma-orion-zh-29BT,6,5000,10.48576,0.2372178386,0.2546000023,0.2538082716,0.2671335547
1p46G-gemma-orion-zh-29BT,6,5500,11.534336,0.23871834320000002,0.2556162215,0.2587944289,0.2695090301
1p46G-gemma-orion-zh-29BT,6,6000,12.582912,0.2387339872,0.259661548,0.2574286894,0.2668513303
1p46G-gemma-orion-zh-29BT,6,6500,13.631488,0.23841784740000002,0.25940373310000003,0.2611197698,0.2688010031
1p46G-gemma-orion-zh-29BT,6,7000,14.680064,0.23983409200000003,0.25579296090000003,0.2571776865,0.2673623484
1p46G-gemma-orion-zh-29BT,6,7500,15.72864,0.2352259414,0.2575160081,0.2593463514,0.26793914150000003
1p46G-gemma-orion-zh-29BT,6,8000,16.777216,0.23875058400000002,0.2588355557,0.2614569593,0.2666620316
1p46G-gemma-orion-zh-29BT,6,8500,17.825792,0.2388623669,0.25657693330000003,0.2577258479,0.2693626874
1p46G-gemma-orion-zh-29BT,6,9000,18.874368,0.2380298496,0.2560374364,0.2598568558,0.26846396100000003
1p46G-gemma-orion-zh-29BT,6,9500,19.922944,0.2382011553,0.2585161902,0.2602215117,0.2665715681
baseline-zh-,42,0,0.0,0.25,0.25,0.25,0.25
1p46G-gemma-lynx-zh-29BT,6,0,0.0,0.2281096055,0.2500049897,0.2481911604,0.24035310710000002
1p46G-gemma-lynx-zh-29BT,6,1000,2.097152,0.2271713955,0.2544922796,0.2533878824,0.2604376164
1p46G-gemma-lynx-zh-29BT,6,10000,20.97152,0.2348713826,0.2573147176,0.2553738734,0.26907352030000004
1p46G-gemma-lynx-zh-29BT,6,10500,22.020096,0.23357838300000003,0.2551718871,0.255150197,0.2686957378
1p46G-gemma-lynx-zh-29BT,6,11000,23.068672,0.23633701810000002,0.259188274,0.25964633130000003,0.27214171800000003
1p46G-gemma-lynx-zh-29BT,6,11500,24.117248,0.2325467266,0.2537318725,0.2550923116,0.2698541595
1p46G-gemma-lynx-zh-29BT,6,12000,25.165824,0.2349632734,0.2572388288,0.2555430602,0.2720181519
1p46G-gemma-lynx-zh-29BT,6,12500,26.2144,0.23605658070000002,0.255543937,0.2586635218,0.2686550281
1p46G-gemma-lynx-zh-29BT,6,13000,27.262976,0.2333162443,0.2569737012,0.25776318800000003,0.2685924435
1p46G-gemma-lynx-zh-29BT,6,13500,28.311552,0.2338959857,0.2546700173,0.2586944718,0.2683311858
1p46G-gemma-lynx-zh-29BT,6,14000,29.360128,0.2339681597,0.2549372804,0.2596329724,0.2687164241
1p46G-gemma-lynx-zh-29BT,6,1500,3.145728,0.2248393931,0.255827101,0.2549252543,0.2622009745
1p46G-gemma-lynx-zh-29BT,6,2000,4.194304,0.2329335365,0.2600482053,0.2565967008,0.2676355056
1p46G-gemma-lynx-zh-29BT,6,2500,5.24288,0.23112034890000002,0.2603015412,0.25891139900000004,0.2641989804
1p46G-gemma-lynx-zh-29BT,6,3000,6.291456,0.2325744612,0.2593755706,0.2566789736,0.26442877940000004
