runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.4699611232,0.5525310209000001,0.4573886069,0.44774091530000004
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.4418016276,0.448704778,0.40951273060000004,0.448363347
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.4214124567,0.4197133591,0.3947435742,0.4368241882
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.42123116590000004,0.4220520103,0.3911691242,0.4412295544
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.42301990170000003,0.4230763033,0.3998076303,0.4405225203
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.4235134155,0.4232032068,0.3936769801,0.4391054307
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.42689046010000004,0.41960760620000004,0.3999224478,0.4374435984
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.4284344533,0.42126943840000003,0.40026387880000003,0.4411358875
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.43082447020000003,0.4257412779,0.39802191600000003,0.4450275965
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.4343143179,0.4280587785,0.40204355010000004,0.4411661027
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.4294708323,0.4248741036,0.3936014423,0.4437223028
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.4401820965,0.4411812102,0.41315969700000005,0.44099387640000004
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.4277264121,0.42747562650000004,0.39338087180000003,0.4389029893
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.4197667392,0.4234026267,0.39275239710000004,0.4369782854
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.422974579,0.4163292644,0.39209975020000004,0.43508077510000004
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.4208806704,0.4120689308,0.3958977923,0.4421360084
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.4198865925,0.4132080413,0.39653231,0.4499043187
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.4195552333,0.4141507534,0.3946801225,0.4406464024
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.4498126662,0.47963197970000004,0.4245205866,0.4242274998
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.42865502380000003,0.4260343647,0.39229917010000004,0.43915075340000004
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.41462009510000003,0.40857606160000004,0.3844643864,0.4334189429
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.4231296833,0.4128031585,0.3932267746,0.4334219644
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.4223853839,0.4161056724,0.3969462574,0.4304820321
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.4262438563,0.42331802430000004,0.39184594310000004,0.4362682298
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.4234892434,0.4236564338,0.39382503420000003,0.43541616310000003
1p46G-gemma-aquila-zh-29BT,6,8000,16.777216,0.42708081540000004,0.4223058174,0.3995326726,0.45310712270000003
1p46G-gemma-aquila-zh-29BT,6,8500,17.825792,0.42206510350000004,0.4233603255,0.39466803640000003,0.43327693180000004
1p46G-gemma-aquila-zh-29BT,6,9000,18.874368,0.42573624200000004,0.41979494,0.3949973814,0.44216924500000004
1p46G-gemma-aquila-zh-29BT,6,9500,19.922944,0.42031967610000004,0.4147006688,0.3909848119,0.4427614616
1p46G-gemma-orion-zh-29BT,6,0,0.0,0.4699611232,0.5525310209000001,0.4573886069,0.44774091530000004
1p46G-gemma-orion-zh-29BT,6,1000,2.097152,0.4452652889,0.4499788494,0.40759104830000004,0.4317812827
1p46G-gemma-orion-zh-29BT,6,10000,20.97152,0.43805797280000003,0.42668399,0.4019680122,0.441468254
1p46G-gemma-orion-zh-29BT,6,10500,22.020096,0.4399585046,0.4232575941,0.40046934170000004,0.4476109903
1p46G-gemma-orion-zh-29BT,6,11000,23.068672,0.4381395536,0.42279228100000005,0.39344432360000003,0.44664410600000004
1p46G-gemma-orion-zh-29BT,6,11500,24.117248,0.4345016518,0.4236806059,0.3988921118,0.4422719765
1p46G-gemma-orion-zh-29BT,6,12000,25.165824,0.44050842,0.42357183140000004,0.3987652083,0.4449701877
1p46G-gemma-orion-zh-29BT,6,12500,26.2144,0.43786459590000004,0.4229493997,0.3989646282,0.45014301830000003
1p46G-gemma-orion-zh-29BT,6,13000,27.262976,0.4365744098,0.4233693901,0.39475566030000003,0.4465866973
1p46G-gemma-orion-zh-29BT,6,13500,28.311552,0.43579183790000003,0.4203055757,0.3946408428,0.4399574974
1p46G-gemma-orion-zh-29BT,6,14000,29.360128,0.4362783015,0.42398577870000004,0.3922931271,0.44495205870000004
1p46G-gemma-orion-zh-29BT,6,1500,3.145728,0.4441020063,0.4531433809,0.4114555636,0.4428591572
1p46G-gemma-orion-zh-29BT,6,2000,4.194304,0.44647288700000004,0.4428883652,0.4107485295,0.43385101930000003
1p46G-gemma-orion-zh-29BT,6,2500,5.24288,0.44657964710000003,0.4477378938,0.4118362743,0.44062827330000004
1p46G-gemma-orion-zh-29BT,6,3000,6.291456,0.44416747240000004,0.4388697526,0.4004361051,0.44562887760000003
1p46G-gemma-orion-zh-29BT,6,3500,7.340032,0.4494792926,0.4457285875,0.4103859479,0.4549442027
1p46G-gemma-orion-zh-29BT,6,4000,8.388608,0.4459894448,0.4410240915,0.4098390541,0.4496505116
1p46G-gemma-orion-zh-29BT,6,4500,9.437184,0.4448563774,0.4380176859,0.40930726770000003,0.446408428
1p46G-gemma-orion-zh-29BT,6,500,1.048576,0.4628927967,0.5067238740000001,0.4474931512,0.4239676497
1p46G-gemma-orion-zh-29BT,6,5000,10.48576,0.4501299251,0.4362440577,0.4113709612,0.4489888003
1p46G-gemma-orion-zh-29BT,6,5500,11.534336,0.44156393520000004,0.43915075340000004,0.4107666586,0.45339416650000003
1p46G-gemma-orion-zh-29BT,6,6000,12.582912,0.4447627105,0.4342347514,0.4133802675,0.4453297478
1p46G-gemma-orion-zh-29BT,6,6500,13.631488,0.4428420353,0.43133712030000004,0.4064640238,0.4478678189
1p46G-gemma-orion-zh-29BT,6,7000,14.680064,0.4438481992,0.4318114979,0.4037295544,0.4453297478
1p46G-gemma-orion-zh-29BT,6,7500,15.72864,0.43999879140000003,0.42904077030000004,0.4007412779,0.44104222060000003
1p46G-gemma-orion-zh-29BT,6,8000,16.777216,0.4432277818,0.4371535332,0.40214628150000004,0.4406584884
1p46G-gemma-orion-zh-29BT,6,8500,17.825792,0.4366710982,0.4259437193,0.397780195,0.43764906130000003
1p46G-gemma-orion-zh-29BT,6,9000,18.874368,0.4374959713,0.42519438400000004,0.3970822254,0.43377850290000003
1p46G-gemma-orion-zh-29BT,6,9500,19.922944,0.4455916123,0.4309684957,0.4043912658,0.44292462330000004
baseline-zh-,42,0,0.0,0.4487522782,0.4487522782,0.4487522782,0.4487522782
1p46G-gemma-lynx-zh-29BT,6,0,0.0,0.4699611232,0.5525310209000001,0.4573886069,0.44774091530000004
1p46G-gemma-lynx-zh-29BT,6,1000,2.097152,0.4498036016,0.4479363065,0.4181562727,0.4479977439
1p46G-gemma-lynx-zh-29BT,6,10000,20.97152,0.44606397550000004,0.44913987590000004,0.41692148090000003,0.4469462574
1p46G-gemma-lynx-zh-29BT,6,10500,22.020096,0.45015812590000004,0.447786238,0.42068930790000003,0.4389906132
1p46G-gemma-lynx-zh-29BT,6,11000,23.068672,0.44374244620000003,0.4470127306,0.411552252,0.43097151720000004
1p46G-gemma-lynx-zh-29BT,6,11500,24.117248,0.43998871970000003,0.4393139151,0.40987833370000004,0.4390178068
1p46G-gemma-lynx-zh-29BT,6,12000,25.165824,0.4420594634,0.4381204174,0.4070562404,0.4447496173
1p46G-gemma-lynx-zh-29BT,6,12500,26.2144,0.4442822899,0.4404983482,0.4106397551,0.4373982757
1p46G-gemma-lynx-zh-29BT,6,13000,27.262976,0.4447455886,0.44185198610000004,0.40950668760000003,0.4336334703
1p46G-gemma-lynx-zh-29BT,6,13500,28.311552,0.4420262267,0.43616247680000003,0.4042643623,0.4327340666
1p46G-gemma-lynx-zh-29BT,6,14000,29.360128,0.440820643,0.4357696801,0.41049170090000003,0.4311477721
1p46G-gemma-lynx-zh-29BT,6,1500,3.145728,0.4439448876,0.447821489,0.4167643623,0.4302675046
1p46G-gemma-lynx-zh-29BT,6,2000,4.194304,0.45056200150000003,0.4441694867,0.4085186528,0.4369148336
1p46G-gemma-lynx-zh-29BT,6,2500,5.24288,0.44653633870000004,0.4367879301,0.40722544520000004,0.45298021920000003
1p46G-gemma-lynx-zh-29BT,6,3000,6.291456,0.4465574893,0.4452995327,0.40933143990000004,0.44264060110000003
1p46G-gemma-lynx-zh-29BT,6,3500,7.340032,0.4437323745,0.43979433570000004,0.4019619692,0.4408458223
1p46G-gemma-lynx-zh-29BT,6,4000,8.388608,0.4438079123,0.4505690516,0.4158941665,0.4369601563
1p46G-gemma-lynx-zh-29BT,6,4500,9.437184,0.4391497462,0.44588268470000003,0.4009527838,0.45122572720000004
1p46G-gemma-lynx-zh-29BT,6,500,1.048576,0.4651327451,0.49462170660000004,0.43229494,0.4272671421
1p46G-gemma-lynx-zh-29BT,6,5000,10.48576,0.4383722101,0.4477620659,0.41150088630000003,0.4578388123
1p46G-gemma-lynx-zh-29BT,6,5500,11.534336,0.44569736520000003,0.44676194500000005,0.41892474420000003,0.4450578116
1p46G-gemma-lynx-zh-29BT,6,6000,12.582912,0.44220751750000004,0.44578599630000004,0.40730400450000004,0.4573251551
1p46G-gemma-lynx-zh-29BT,6,6500,13.631488,0.4502618645,0.4443054548,0.4083917493,0.4485627669
1p46G-gemma-lynx-zh-29BT,6,7000,14.680064,0.4364686568,0.4420091048,0.4037899847,0.4444414229
1p46G-gemma-lynx-zh-29BT,6,7500,15.72864,0.4388989606,0.4421360084,0.4147580775,0.45198614130000003
1p46G-gemma-lynx-zh-29BT,6,8000,16.777216,0.44351885420000003,0.44284606400000004,0.4104493997,0.45330654260000003
1p46G-gemma-lynx-zh-29BT,6,8500,17.825792,0.4450557973,0.43821408430000003,0.4118241882,0.44860305370000003
1p46G-gemma-lynx-zh-29BT,6,9000,18.874368,0.4394297397,0.43914168880000004,0.4035240915,0.4386159455
1p46G-gemma-lynx-zh-29BT,6,9500,19.922944,0.4432247603,0.449741157,0.413253364,0.4431210217
1p46G-gemma-commoncrawl-zh-29BT,5,0,0.0,0.46571287570000003,0.5540991862,0.47037003460000004,0.4438854645
1p46G-gemma-commoncrawl-zh-29BT,5,1000,2.097152,0.4362128354,0.4380559584,0.3983754331,0.43374526630000004
1p46G-gemma-commoncrawl-zh-29BT,5,10000,20.97152,0.4242768512,0.4238377246,0.39576484570000003,0.43616247680000003
1p46G-gemma-commoncrawl-zh-29BT,5,10500,22.020096,0.4261169527,0.4261219886,0.3963902989,0.4304125373
1p46G-gemma-commoncrawl-zh-29BT,5,11000,23.068672,0.42635867380000003,0.4248741036,0.3972574732,0.4273215293
1p46G-gemma-commoncrawl-zh-29BT,5,11500,24.117248,0.43197566670000004,0.4280980582,0.3993604464,0.440791435
1p46G-gemma-commoncrawl-zh-29BT,5,12000,25.165824,0.4228033599,0.4267232697,0.3923898155,0.4303641931
1p46G-gemma-commoncrawl-zh-29BT,5,12500,26.2144,0.4236423334,0.4271039803,0.3956470067,0.43331621140000004
1p46G-gemma-commoncrawl-zh-29BT,5,13000,27.262976,0.42429296590000004,0.4286932963,0.4004814278,0.43401720250000003
