runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.495,0.495,0.495,0.505
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.52,0.52,0.52,0.52
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.5760000000000001,0.5760000000000001,0.5760000000000001,0.532
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.5740000000000001,0.5740000000000001,0.5740000000000001,0.558
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.586,0.586,0.586,0.535
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.588,0.588,0.588,0.532
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.588,0.588,0.588,0.55
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.582,0.582,0.582,0.538
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.588,0.588,0.588,0.536
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.599,0.599,0.599,0.52
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.604,0.604,0.604,0.536
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.547,0.547,0.547,0.505
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.535,0.535,0.535,0.511
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.552,0.552,0.552,0.512
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.539,0.539,0.539,0.503
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.549,0.549,0.549,0.521
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.5740000000000001,0.5740000000000001,0.5740000000000001,0.535
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.597,0.597,0.597,0.516
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.522,0.522,0.522,0.507
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.5630000000000001,0.5630000000000001,0.5630000000000001,0.511
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.586,0.586,0.586,0.538
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.596,0.596,0.596,0.53
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.56,0.56,0.56,0.527
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.58,0.58,0.58,0.533
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.578,0.578,0.578,0.5660000000000001
1p46G-gemma-aquila-zh-29BT,6,8000,16.777216,0.618,0.618,0.618,0.528
1p46G-gemma-aquila-zh-29BT,6,8500,17.825792,0.588,0.588,0.588,0.521
1p46G-gemma-aquila-zh-29BT,6,9000,18.874368,0.621,0.621,0.621,0.561
1p46G-gemma-aquila-zh-29BT,6,9500,19.922944,0.599,0.599,0.599,0.545
1p46G-gemma-orion-zh-29BT,6,0,0.0,0.495,0.495,0.495,0.505
1p46G-gemma-orion-zh-29BT,6,1000,2.097152,0.527,0.527,0.527,0.505
1p46G-gemma-orion-zh-29BT,6,10000,20.97152,0.524,0.524,0.524,0.494
1p46G-gemma-orion-zh-29BT,6,10500,22.020096,0.538,0.538,0.538,0.468
1p46G-gemma-orion-zh-29BT,6,11000,23.068672,0.552,0.552,0.552,0.47500000000000003
1p46G-gemma-orion-zh-29BT,6,11500,24.117248,0.557,0.557,0.557,0.484
1p46G-gemma-orion-zh-29BT,6,12000,25.165824,0.553,0.553,0.553,0.468
1p46G-gemma-orion-zh-29BT,6,12500,26.2144,0.5680000000000001,0.5680000000000001,0.5680000000000001,0.47300000000000003
1p46G-gemma-orion-zh-29BT,6,13000,27.262976,0.562,0.562,0.562,0.483
1p46G-gemma-orion-zh-29BT,6,13500,28.311552,0.5650000000000001,0.5650000000000001,0.5650000000000001,0.47700000000000004
1p46G-gemma-orion-zh-29BT,6,14000,29.360128,0.561,0.561,0.561,0.48
1p46G-gemma-orion-zh-29BT,6,1500,3.145728,0.551,0.551,0.551,0.516
1p46G-gemma-orion-zh-29BT,6,2000,4.194304,0.5640000000000001,0.5640000000000001,0.5640000000000001,0.532
1p46G-gemma-orion-zh-29BT,6,2500,5.24288,0.533,0.533,0.533,0.532
1p46G-gemma-orion-zh-29BT,6,3000,6.291456,0.551,0.551,0.551,0.518
1p46G-gemma-orion-zh-29BT,6,3500,7.340032,0.519,0.519,0.519,0.461
1p46G-gemma-orion-zh-29BT,6,4000,8.388608,0.519,0.519,0.519,0.47800000000000004
1p46G-gemma-orion-zh-29BT,6,4500,9.437184,0.529,0.529,0.529,0.47700000000000004
1p46G-gemma-orion-zh-29BT,6,500,1.048576,0.502,0.502,0.502,0.47300000000000003
1p46G-gemma-orion-zh-29BT,6,5000,10.48576,0.531,0.531,0.531,0.489
1p46G-gemma-orion-zh-29BT,6,5500,11.534336,0.535,0.535,0.535,0.494
1p46G-gemma-orion-zh-29BT,6,6000,12.582912,0.534,0.534,0.534,0.47400000000000003
1p46G-gemma-orion-zh-29BT,6,6500,13.631488,0.537,0.537,0.537,0.47300000000000003
1p46G-gemma-orion-zh-29BT,6,7000,14.680064,0.531,0.531,0.531,0.47600000000000003
1p46G-gemma-orion-zh-29BT,6,7500,15.72864,0.543,0.543,0.543,0.47900000000000004
1p46G-gemma-orion-zh-29BT,6,8000,16.777216,0.524,0.524,0.524,0.47400000000000003
1p46G-gemma-orion-zh-29BT,6,8500,17.825792,0.537,0.537,0.537,0.47400000000000003
1p46G-gemma-orion-zh-29BT,6,9000,18.874368,0.543,0.543,0.543,0.49
1p46G-gemma-orion-zh-29BT,6,9500,19.922944,0.545,0.545,0.545,0.485
baseline-zh-,42,0,0.0,0.5,0.5,0.5,0.5
1p46G-gemma-lynx-zh-29BT,6,0,0.0,0.494,0.494,0.494,0.506
1p46G-gemma-lynx-zh-29BT,6,1000,2.097152,0.498,0.498,0.498,0.507
1p46G-gemma-lynx-zh-29BT,6,10000,20.97152,0.554,0.554,0.554,0.525
1p46G-gemma-lynx-zh-29BT,6,10500,22.020096,0.54,0.54,0.54,0.537
1p46G-gemma-lynx-zh-29BT,6,11000,23.068672,0.553,0.553,0.553,0.534
1p46G-gemma-lynx-zh-29BT,6,11500,24.117248,0.541,0.541,0.541,0.53
1p46G-gemma-lynx-zh-29BT,6,12000,25.165824,0.541,0.541,0.541,0.533
1p46G-gemma-lynx-zh-29BT,6,12500,26.2144,0.541,0.541,0.541,0.526
1p46G-gemma-lynx-zh-29BT,6,13000,27.262976,0.549,0.549,0.549,0.529
1p46G-gemma-lynx-zh-29BT,6,13500,28.311552,0.536,0.536,0.536,0.525
1p46G-gemma-lynx-zh-29BT,6,14000,29.360128,0.544,0.544,0.544,0.538
1p46G-gemma-lynx-zh-29BT,6,1500,3.145728,0.496,0.496,0.496,0.491
1p46G-gemma-lynx-zh-29BT,6,2000,4.194304,0.541,0.541,0.541,0.534
1p46G-gemma-lynx-zh-29BT,6,2500,5.24288,0.515,0.515,0.515,0.521
1p46G-gemma-lynx-zh-29BT,6,3000,6.291456,0.526,0.526,0.526,0.524
1p46G-gemma-lynx-zh-29BT,6,3500,7.340032,0.509,0.509,0.509,0.535
1p46G-gemma-lynx-zh-29BT,6,4000,8.388608,0.53,0.53,0.53,0.528
1p46G-gemma-lynx-zh-29BT,6,4500,9.437184,0.549,0.549,0.549,0.527
1p46G-gemma-lynx-zh-29BT,6,500,1.048576,0.518,0.518,0.518,0.525
1p46G-gemma-lynx-zh-29BT,6,5000,10.48576,0.519,0.519,0.519,0.519
1p46G-gemma-lynx-zh-29BT,6,5500,11.534336,0.528,0.528,0.528,0.532
1p46G-gemma-lynx-zh-29BT,6,6000,12.582912,0.557,0.557,0.557,0.5660000000000001
1p46G-gemma-lynx-zh-29BT,6,6500,13.631488,0.554,0.554,0.554,0.541
1p46G-gemma-lynx-zh-29BT,6,7000,14.680064,0.552,0.552,0.552,0.551
1p46G-gemma-lynx-zh-29BT,6,7500,15.72864,0.556,0.556,0.556,0.539
1p46G-gemma-lynx-zh-29BT,6,8000,16.777216,0.539,0.539,0.539,0.529
1p46G-gemma-lynx-zh-29BT,6,8500,17.825792,0.553,0.553,0.553,0.533
1p46G-gemma-lynx-zh-29BT,6,9000,18.874368,0.552,0.552,0.552,0.542
1p46G-gemma-lynx-zh-29BT,6,9500,19.922944,0.5760000000000001,0.5760000000000001,0.5760000000000001,0.546
1p46G-gemma-commoncrawl-zh-29BT,5,0,0.0,0.495,0.495,0.495,0.533
1p46G-gemma-commoncrawl-zh-29BT,5,1000,2.097152,0.501,0.501,0.501,0.52
