runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.526,0.526,0.526,0.527
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.535,0.535,0.535,0.542
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.459,0.459,0.459,0.508
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.466,0.466,0.466,0.51
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.464,0.464,0.464,0.523
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.468,0.468,0.468,0.526
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.465,0.465,0.465,0.509
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.464,0.464,0.464,0.52
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.462,0.462,0.462,0.517
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.465,0.465,0.465,0.533
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.464,0.464,0.464,0.537
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.529,0.529,0.529,0.526
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.464,0.464,0.464,0.484
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.465,0.465,0.465,0.464
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.463,0.463,0.463,0.47200000000000003
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.457,0.457,0.457,0.465
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.462,0.462,0.462,0.47300000000000003
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.463,0.463,0.463,0.513
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.553,0.553,0.553,0.487
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.468,0.468,0.468,0.497
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.464,0.464,0.464,0.5
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.465,0.465,0.465,0.494
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.465,0.465,0.465,0.499
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.46,0.46,0.46,0.508
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.467,0.467,0.467,0.506
1p46G-gemma-aquila-zh-29BT,6,8000,16.777216,0.47300000000000003,0.47300000000000003,0.47300000000000003,0.511
1p46G-gemma-aquila-zh-29BT,6,8500,17.825792,0.464,0.464,0.464,0.509
1p46G-gemma-aquila-zh-29BT,6,9000,18.874368,0.465,0.465,0.465,0.494
1p46G-gemma-aquila-zh-29BT,6,9500,19.922944,0.462,0.462,0.462,0.497
1p46G-gemma-orion-zh-29BT,6,0,0.0,0.526,0.526,0.526,0.527
1p46G-gemma-orion-zh-29BT,6,1000,2.097152,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.488
1p46G-gemma-orion-zh-29BT,6,10000,20.97152,0.47500000000000003,0.47500000000000003,0.47500000000000003,0.544
1p46G-gemma-orion-zh-29BT,6,10500,22.020096,0.461,0.461,0.461,0.535
1p46G-gemma-orion-zh-29BT,6,11000,23.068672,0.47300000000000003,0.47300000000000003,0.47300000000000003,0.537
1p46G-gemma-orion-zh-29BT,6,11500,24.117248,0.467,0.467,0.467,0.541
1p46G-gemma-orion-zh-29BT,6,12000,25.165824,0.467,0.467,0.467,0.542
1p46G-gemma-orion-zh-29BT,6,12500,26.2144,0.46900000000000003,0.46900000000000003,0.46900000000000003,0.548
1p46G-gemma-orion-zh-29BT,6,13000,27.262976,0.467,0.467,0.467,0.546
1p46G-gemma-orion-zh-29BT,6,13500,28.311552,0.468,0.468,0.468,0.544
1p46G-gemma-orion-zh-29BT,6,14000,29.360128,0.47600000000000003,0.47600000000000003,0.47600000000000003,0.54
1p46G-gemma-orion-zh-29BT,6,1500,3.145728,0.484,0.484,0.484,0.506
1p46G-gemma-orion-zh-29BT,6,2000,4.194304,0.494,0.494,0.494,0.49
1p46G-gemma-orion-zh-29BT,6,2500,5.24288,0.55,0.55,0.55,0.495
1p46G-gemma-orion-zh-29BT,6,3000,6.291456,0.47800000000000004,0.47800000000000004,0.47800000000000004,0.529
1p46G-gemma-orion-zh-29BT,6,3500,7.340032,0.529,0.529,0.529,0.467
1p46G-gemma-orion-zh-29BT,6,4000,8.388608,0.465,0.465,0.465,0.531
1p46G-gemma-orion-zh-29BT,6,4500,9.437184,0.46900000000000003,0.46900000000000003,0.46900000000000003,0.533
1p46G-gemma-orion-zh-29BT,6,500,1.048576,0.464,0.464,0.464,0.47900000000000004
1p46G-gemma-orion-zh-29BT,6,5000,10.48576,0.539,0.539,0.539,0.484
1p46G-gemma-orion-zh-29BT,6,5500,11.534336,0.535,0.535,0.535,0.47200000000000003
1p46G-gemma-orion-zh-29BT,6,6000,12.582912,0.466,0.466,0.466,0.522
1p46G-gemma-orion-zh-29BT,6,6500,13.631488,0.46900000000000003,0.46900000000000003,0.46900000000000003,0.545
1p46G-gemma-orion-zh-29BT,6,7000,14.680064,0.466,0.466,0.466,0.52
1p46G-gemma-orion-zh-29BT,6,7500,15.72864,0.47300000000000003,0.47300000000000003,0.47300000000000003,0.535
1p46G-gemma-orion-zh-29BT,6,8000,16.777216,0.47100000000000003,0.47100000000000003,0.47100000000000003,0.51
1p46G-gemma-orion-zh-29BT,6,8500,17.825792,0.463,0.463,0.463,0.535
1p46G-gemma-orion-zh-29BT,6,9000,18.874368,0.47200000000000003,0.47200000000000003,0.47200000000000003,0.534
1p46G-gemma-orion-zh-29BT,6,9500,19.922944,0.447,0.447,0.447,0.525
baseline-zh-,42,0,0.0,0.5,0.5,0.5,0.5
1p46G-gemma-lynx-zh-29BT,6,0,0.0,0.47300000000000003,0.47300000000000003,0.47300000000000003,0.47500000000000003
1p46G-gemma-lynx-zh-29BT,6,1000,2.097152,0.456,0.456,0.456,0.47500000000000003
1p46G-gemma-lynx-zh-29BT,6,10000,20.97152,0.466,0.466,0.466,0.512
1p46G-gemma-lynx-zh-29BT,6,10500,22.020096,0.462,0.462,0.462,0.531
1p46G-gemma-lynx-zh-29BT,6,11000,23.068672,0.462,0.462,0.462,0.517
1p46G-gemma-lynx-zh-29BT,6,11500,24.117248,0.466,0.466,0.466,0.47700000000000004
1p46G-gemma-lynx-zh-29BT,6,12000,25.165824,0.466,0.466,0.466,0.466
1p46G-gemma-lynx-zh-29BT,6,12500,26.2144,0.465,0.465,0.465,0.487
1p46G-gemma-lynx-zh-29BT,6,13000,27.262976,0.465,0.465,0.465,0.497
1p46G-gemma-lynx-zh-29BT,6,13500,28.311552,0.465,0.465,0.465,0.481
1p46G-gemma-lynx-zh-29BT,6,14000,29.360128,0.465,0.465,0.465,0.49
1p46G-gemma-lynx-zh-29BT,6,1500,3.145728,0.464,0.464,0.464,0.53
1p46G-gemma-lynx-zh-29BT,6,2000,4.194304,0.466,0.466,0.466,0.481
1p46G-gemma-lynx-zh-29BT,6,2500,5.24288,0.46,0.46,0.46,0.485
1p46G-gemma-lynx-zh-29BT,6,3000,6.291456,0.47200000000000003,0.47200000000000003,0.47200000000000003,0.494
1p46G-gemma-lynx-zh-29BT,6,3500,7.340032,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.481
1p46G-gemma-lynx-zh-29BT,6,4000,8.388608,0.47800000000000004,0.47800000000000004,0.47800000000000004,0.462
1p46G-gemma-lynx-zh-29BT,6,4500,9.437184,0.46,0.46,0.46,0.47200000000000003
1p46G-gemma-lynx-zh-29BT,6,500,1.048576,0.468,0.468,0.468,0.491
1p46G-gemma-lynx-zh-29BT,6,5000,10.48576,0.461,0.461,0.461,0.518
1p46G-gemma-lynx-zh-29BT,6,5500,11.534336,0.47100000000000003,0.47100000000000003,0.47100000000000003,0.491
1p46G-gemma-lynx-zh-29BT,6,6000,12.582912,0.459,0.459,0.459,0.541
1p46G-gemma-lynx-zh-29BT,6,6500,13.631488,0.464,0.464,0.464,0.521
1p46G-gemma-lynx-zh-29BT,6,7000,14.680064,0.467,0.467,0.467,0.554
1p46G-gemma-lynx-zh-29BT,6,7500,15.72864,0.456,0.456,0.456,0.489
1p46G-gemma-lynx-zh-29BT,6,8000,16.777216,0.465,0.465,0.465,0.514
1p46G-gemma-lynx-zh-29BT,6,8500,17.825792,0.463,0.463,0.463,0.495
1p46G-gemma-lynx-zh-29BT,6,9000,18.874368,0.462,0.462,0.462,0.501
1p46G-gemma-lynx-zh-29BT,6,9500,19.922944,0.462,0.462,0.462,0.491
1p46G-gemma-commoncrawl-zh-29BT,5,0,0.0,0.519,0.519,0.519,0.491
1p46G-gemma-commoncrawl-zh-29BT,5,1000,2.097152,0.46,0.46,0.46,0.528
1p46G-gemma-commoncrawl-zh-29BT,5,10000,20.97152,0.466,0.466,0.466,0.504
1p46G-gemma-commoncrawl-zh-29BT,5,10500,22.020096,0.468,0.468,0.468,0.511
