runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.512,0.508,0.458,0.462
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.54,0.53,0.542,0.596
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.592,0.5760000000000001,0.586,0.65
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.586,0.58,0.58,0.656
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.586,0.59,0.59,0.654
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.588,0.594,0.594,0.664
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.584,0.596,0.586,0.652
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.5760000000000001,0.586,0.584,0.658
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.584,0.584,0.594,0.652
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.58,0.594,0.582,0.662
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.588,0.586,0.594,0.642
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.562,0.538,0.5640000000000001,0.5760000000000001
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.58,0.56,0.556,0.618
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.5740000000000001,0.5700000000000001,0.562,0.618
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.578,0.55,0.5720000000000001,0.646
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.562,0.548,0.562,0.624
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.58,0.58,0.578,0.626
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.578,0.582,0.5700000000000001,0.612
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.544,0.498,0.51,0.506
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.5760000000000001,0.578,0.582,0.624
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.58,0.5720000000000001,0.598,0.622
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.594,0.5640000000000001,0.606,0.652
