runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.525,0.525,0.525,0.5
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.484,0.484,0.484,0.483
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.5,0.5,0.5,0.598
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.502,0.502,0.502,0.603
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.525,0.525,0.525,0.598
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.508,0.508,0.508,0.6000000000000001
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.501,0.501,0.501,0.58
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.5,0.5,0.5,0.593
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.505,0.505,0.505,0.584
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.506,0.506,0.506,0.5760000000000001
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.503,0.503,0.503,0.584
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.492,0.492,0.492,0.504
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.483,0.483,0.483,0.52
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.506,0.506,0.506,0.489
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.497,0.497,0.497,0.522
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.501,0.501,0.501,0.505
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.501,0.501,0.501,0.516
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.505,0.505,0.505,0.546
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.497,0.497,0.497,0.494
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.52,0.52,0.52,0.519
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.522,0.522,0.522,0.548
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.524,0.524,0.524,0.557
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.493,0.493,0.493,0.5700000000000001
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.493,0.493,0.493,0.55
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.501,0.501,0.501,0.555
1p46G-gemma-aquila-zh-29BT,6,8000,16.777216,0.528,0.528,0.528,0.577
1p46G-gemma-aquila-zh-29BT,6,8500,17.825792,0.503,0.503,0.503,0.577
1p46G-gemma-aquila-zh-29BT,6,9000,18.874368,0.535,0.535,0.535,0.585
1p46G-gemma-aquila-zh-29BT,6,9500,19.922944,0.534,0.534,0.534,0.5760000000000001
1p46G-gemma-orion-zh-29BT,6,0,0.0,0.525,0.525,0.525,0.5
1p46G-gemma-orion-zh-29BT,6,1000,2.097152,0.486,0.486,0.486,0.521
1p46G-gemma-orion-zh-29BT,6,10000,20.97152,0.528,0.528,0.528,0.525
1p46G-gemma-orion-zh-29BT,6,10500,22.020096,0.518,0.518,0.518,0.522
1p46G-gemma-orion-zh-29BT,6,11000,23.068672,0.509,0.509,0.509,0.526
1p46G-gemma-orion-zh-29BT,6,11500,24.117248,0.515,0.515,0.515,0.509
1p46G-gemma-orion-zh-29BT,6,12000,25.165824,0.508,0.508,0.508,0.523
1p46G-gemma-orion-zh-29BT,6,12500,26.2144,0.512,0.512,0.512,0.509
1p46G-gemma-orion-zh-29BT,6,13000,27.262976,0.507,0.507,0.507,0.507
1p46G-gemma-orion-zh-29BT,6,13500,28.311552,0.509,0.509,0.509,0.527
1p46G-gemma-orion-zh-29BT,6,14000,29.360128,0.519,0.519,0.519,0.515
1p46G-gemma-orion-zh-29BT,6,1500,3.145728,0.511,0.511,0.511,0.512
1p46G-gemma-orion-zh-29BT,6,2000,4.194304,0.531,0.531,0.531,0.481
1p46G-gemma-orion-zh-29BT,6,2500,5.24288,0.492,0.492,0.492,0.499
1p46G-gemma-orion-zh-29BT,6,3000,6.291456,0.525,0.525,0.525,0.516
1p46G-gemma-orion-zh-29BT,6,3500,7.340032,0.513,0.513,0.513,0.504
