runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.501,0.501,0.501,0.47600000000000003
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.491,0.491,0.491,0.49
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.513,0.513,0.513,0.5690000000000001
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.511,0.511,0.511,0.5710000000000001
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.53,0.53,0.53,0.5660000000000001
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.508,0.508,0.508,0.5650000000000001
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.514,0.514,0.514,0.5690000000000001
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.518,0.518,0.518,0.5740000000000001
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.517,0.517,0.517,0.5700000000000001
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.519,0.519,0.519,0.5630000000000001
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.511,0.511,0.511,0.5640000000000001
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.506,0.506,0.506,0.512
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.498,0.498,0.498,0.525
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.512,0.512,0.512,0.526
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.505,0.505,0.505,0.527
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.507,0.507,0.507,0.516
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.502,0.502,0.502,0.525
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.51,0.51,0.51,0.553
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.491,0.491,0.491,0.492
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.513,0.513,0.513,0.539
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.516,0.516,0.516,0.562
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.528,0.528,0.528,0.555
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.508,0.508,0.508,0.56
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.508,0.508,0.508,0.5690000000000001
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.514,0.514,0.514,0.543
1p46G-gemma-aquila-zh-29BT,6,8000,16.777216,0.524,0.524,0.524,0.555
1p46G-gemma-aquila-zh-29BT,6,8500,17.825792,0.514,0.514,0.514,0.553
1p46G-gemma-aquila-zh-29BT,6,9000,18.874368,0.533,0.533,0.533,0.551
1p46G-gemma-aquila-zh-29BT,6,9500,19.922944,0.531,0.531,0.531,0.5640000000000001
1p46G-gemma-orion-zh-29BT,6,0,0.0,0.501,0.501,0.501,0.47600000000000003
1p46G-gemma-orion-zh-29BT,6,1000,2.097152,0.507,0.507,0.507,0.515
1p46G-gemma-orion-zh-29BT,6,10000,20.97152,0.508,0.508,0.508,0.524
1p46G-gemma-orion-zh-29BT,6,10500,22.020096,0.501,0.501,0.501,0.506
1p46G-gemma-orion-zh-29BT,6,11000,23.068672,0.511,0.511,0.511,0.515
1p46G-gemma-orion-zh-29BT,6,11500,24.117248,0.517,0.517,0.517,0.516
1p46G-gemma-orion-zh-29BT,6,12000,25.165824,0.505,0.505,0.505,0.518
1p46G-gemma-orion-zh-29BT,6,12500,26.2144,0.512,0.512,0.512,0.513
1p46G-gemma-orion-zh-29BT,6,13000,27.262976,0.502,0.502,0.502,0.525
1p46G-gemma-orion-zh-29BT,6,13500,28.311552,0.499,0.499,0.499,0.514
1p46G-gemma-orion-zh-29BT,6,14000,29.360128,0.511,0.511,0.511,0.516
1p46G-gemma-orion-zh-29BT,6,1500,3.145728,0.508,0.508,0.508,0.513
1p46G-gemma-orion-zh-29BT,6,2000,4.194304,0.515,0.515,0.515,0.52
1p46G-gemma-orion-zh-29BT,6,2500,5.24288,0.503,0.503,0.503,0.534
1p46G-gemma-orion-zh-29BT,6,3000,6.291456,0.504,0.504,0.504,0.526
1p46G-gemma-orion-zh-29BT,6,3500,7.340032,0.518,0.518,0.518,0.515
1p46G-gemma-orion-zh-29BT,6,4000,8.388608,0.508,0.508,0.508,0.53
1p46G-gemma-orion-zh-29BT,6,4500,9.437184,0.5,0.5,0.5,0.539
