runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.0,0.0019624523
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.007,0.0855615051
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.055,0.1259318396
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.052000000000000005,0.1223092394
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.048,0.12865206610000002
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.047,0.1228687412
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.051000000000000004,0.12409924300000001
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.05,0.11958021320000001
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.05,0.1285526212
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.054,0.1246550913
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.053,0.1240570535
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.019,0.09855710690000001
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.022,0.1059989404
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.041,0.1129219073
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.049,0.1175253398
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.036000000000000004,0.1136696729
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.058,0.11568568100000001
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.052000000000000005,0.1141808913
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.005,0.054928974900000004
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.058,0.12461627680000001
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.055,0.1236032244
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.046,0.1202931651
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.068,0.1234991247
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.049,0.12370354130000001
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.046,0.1181133233
1p46G-gemma-aquila-zh-29BT,6,8000,16.777216,0.049,0.1198332201
1p46G-gemma-aquila-zh-29BT,6,8500,17.825792,0.055,0.1250319608
1p46G-gemma-aquila-zh-29BT,6,9000,18.874368,0.058,0.11505907900000001
1p46G-gemma-aquila-zh-29BT,6,9500,19.922944,0.059000000000000004,0.1185295911
1p46G-gemma-orion-zh-29BT,6,0,0.0,0.0,0.0019624523
1p46G-gemma-orion-zh-29BT,6,1000,2.097152,0.014,0.08080804550000001
1p46G-gemma-orion-zh-29BT,6,10000,20.97152,0.042,0.13177139000000002
1p46G-gemma-orion-zh-29BT,6,10500,22.020096,0.036000000000000004,0.1258004636
1p46G-gemma-orion-zh-29BT,6,11000,23.068672,0.037,0.1213688591
1p46G-gemma-orion-zh-29BT,6,11500,24.117248,0.036000000000000004,0.1268175592
1p46G-gemma-orion-zh-29BT,6,12000,25.165824,0.045,0.13618830170000001
1p46G-gemma-orion-zh-29BT,6,12500,26.2144,0.045,0.1296208198
1p46G-gemma-orion-zh-29BT,6,13000,27.262976,0.046,0.1367141291
1p46G-gemma-orion-zh-29BT,6,13500,28.311552,0.048,0.13561545460000002
1p46G-gemma-orion-zh-29BT,6,14000,29.360128,0.043000000000000003,0.13345191110000001
1p46G-gemma-orion-zh-29BT,6,1500,3.145728,0.017,0.0816956127
1p46G-gemma-orion-zh-29BT,6,2000,4.194304,0.024,0.0817722219
1p46G-gemma-orion-zh-29BT,6,2500,5.24288,0.014,0.09311023660000001
1p46G-gemma-orion-zh-29BT,6,3000,6.291456,0.017,0.0920216217
1p46G-gemma-orion-zh-29BT,6,3500,7.340032,0.017,0.10306557520000001
1p46G-gemma-orion-zh-29BT,6,4000,8.388608,0.028,0.1014667717
1p46G-gemma-orion-zh-29BT,6,4500,9.437184,0.021,0.1064570185
1p46G-gemma-orion-zh-29BT,6,500,1.048576,0.016,0.0410348615
1p46G-gemma-orion-zh-29BT,6,5000,10.48576,0.02,0.10384348930000001
1p46G-gemma-orion-zh-29BT,6,5500,11.534336,0.024,0.1027982359
1p46G-gemma-orion-zh-29BT,6,6000,12.582912,0.048,0.1200014129
1p46G-gemma-orion-zh-29BT,6,6500,13.631488,0.027,0.1126892739
1p46G-gemma-orion-zh-29BT,6,7000,14.680064,0.033,0.1166228819
1p46G-gemma-orion-zh-29BT,6,7500,15.72864,0.031,0.1045203425
1p46G-gemma-orion-zh-29BT,6,8000,16.777216,0.041,0.11538602270000001
1p46G-gemma-orion-zh-29BT,6,8500,17.825792,0.058,0.1323482969
1p46G-gemma-orion-zh-29BT,6,9000,18.874368,0.044,0.12028942200000001
1p46G-gemma-orion-zh-29BT,6,9500,19.922944,0.04,0.1235881139
baseline-zh-,42,0,0.0,0.0,0.0
1p46G-gemma-lynx-zh-29BT,6,0,0.0,0.0,0.0017802493000000001
1p46G-gemma-lynx-zh-29BT,6,1000,2.097152,0.005,0.0699125533
1p46G-gemma-lynx-zh-29BT,6,10000,20.97152,0.062,0.1425530169
1p46G-gemma-lynx-zh-29BT,6,10500,22.020096,0.062,0.1306235801
1p46G-gemma-lynx-zh-29BT,6,11000,23.068672,0.055,0.1384157003
1p46G-gemma-lynx-zh-29BT,6,11500,24.117248,0.049,0.11845158380000001
1p46G-gemma-lynx-zh-29BT,6,12000,25.165824,0.061,0.1238265229
1p46G-gemma-lynx-zh-29BT,6,12500,26.2144,0.061,0.1325199768
1p46G-gemma-lynx-zh-29BT,6,13000,27.262976,0.069,0.14542629740000002
1p46G-gemma-lynx-zh-29BT,6,13500,28.311552,0.063,0.1432294715
1p46G-gemma-lynx-zh-29BT,6,14000,29.360128,0.056,0.1361157647
1p46G-gemma-lynx-zh-29BT,6,1500,3.145728,0.005,0.06744319210000001
1p46G-gemma-lynx-zh-29BT,6,2000,4.194304,0.005,0.0716332591
1p46G-gemma-lynx-zh-29BT,6,2500,5.24288,0.008,0.0696354347
1p46G-gemma-lynx-zh-29BT,6,3000,6.291456,0.018000000000000002,0.0741083298
1p46G-gemma-lynx-zh-29BT,6,3500,7.340032,0.006,0.0380941611
1p46G-gemma-lynx-zh-29BT,6,4000,8.388608,0.02,0.0816769626
1p46G-gemma-lynx-zh-29BT,6,4500,9.437184,0.028,0.0934342675
1p46G-gemma-lynx-zh-29BT,6,500,1.048576,0.015,0.039948282700000004
1p46G-gemma-lynx-zh-29BT,6,5000,10.48576,0.036000000000000004,0.1103376895
1p46G-gemma-lynx-zh-29BT,6,5500,11.534336,0.025,0.1083212882
1p46G-gemma-lynx-zh-29BT,6,6000,12.582912,0.039,0.1034576442
1p46G-gemma-lynx-zh-29BT,6,6500,13.631488,0.05,0.12278663170000001
1p46G-gemma-lynx-zh-29BT,6,7000,14.680064,0.033,0.11032636300000001
1p46G-gemma-lynx-zh-29BT,6,7500,15.72864,0.053,0.1285103672
1p46G-gemma-lynx-zh-29BT,6,8000,16.777216,0.028,0.10691592700000001
1p46G-gemma-lynx-zh-29BT,6,8500,17.825792,0.048,0.1392409389
1p46G-gemma-lynx-zh-29BT,6,9000,18.874368,0.06,0.1445107189
1p46G-gemma-lynx-zh-29BT,6,9500,19.922944,0.048,0.1167048735
1p46G-gemma-commoncrawl-zh-29BT,5,0,0.0,0.0,0.0018526818000000002
1p46G-gemma-commoncrawl-zh-29BT,5,1000,2.097152,0.002,0.030830925800000002
1p46G-gemma-commoncrawl-zh-29BT,5,10000,20.97152,0.074,0.1628135608
1p46G-gemma-commoncrawl-zh-29BT,5,10500,22.020096,0.081,0.1688564886
1p46G-gemma-commoncrawl-zh-29BT,5,11000,23.068672,0.082,0.1532685999
1p46G-gemma-commoncrawl-zh-29BT,5,11500,24.117248,0.082,0.16446549570000002
1p46G-gemma-commoncrawl-zh-29BT,5,12000,25.165824,0.083,0.1539100091
1p46G-gemma-commoncrawl-zh-29BT,5,12500,26.2144,0.073,0.1580740551
