runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-aquila-zh-29BT,6,0,0.0,0.449,0.534,0.523,0.53
1p46G-gemma-aquila-zh-29BT,6,1000,2.097152,0.509,0.557,0.554,0.5730000000000001
1p46G-gemma-aquila-zh-29BT,6,10000,20.97152,0.548,0.622,0.628,0.654
1p46G-gemma-aquila-zh-29BT,6,10500,22.020096,0.552,0.632,0.625,0.645
1p46G-gemma-aquila-zh-29BT,6,11000,23.068672,0.551,0.639,0.627,0.65
1p46G-gemma-aquila-zh-29BT,6,11500,24.117248,0.556,0.635,0.629,0.646
1p46G-gemma-aquila-zh-29BT,6,12000,25.165824,0.543,0.634,0.62,0.647
1p46G-gemma-aquila-zh-29BT,6,12500,26.2144,0.556,0.639,0.631,0.653
1p46G-gemma-aquila-zh-29BT,6,13000,27.262976,0.549,0.632,0.63,0.645
1p46G-gemma-aquila-zh-29BT,6,13500,28.311552,0.555,0.639,0.625,0.648
1p46G-gemma-aquila-zh-29BT,6,14000,29.360128,0.547,0.629,0.622,0.648
1p46G-gemma-aquila-zh-29BT,6,1500,3.145728,0.501,0.58,0.5660000000000001,0.597
1p46G-gemma-aquila-zh-29BT,6,2000,4.194304,0.517,0.595,0.593,0.61
1p46G-gemma-aquila-zh-29BT,6,2500,5.24288,0.527,0.611,0.584,0.628
1p46G-gemma-aquila-zh-29BT,6,3000,6.291456,0.534,0.607,0.584,0.615
1p46G-gemma-aquila-zh-29BT,6,3500,7.340032,0.528,0.601,0.58,0.615
1p46G-gemma-aquila-zh-29BT,6,4000,8.388608,0.542,0.624,0.602,0.628
1p46G-gemma-aquila-zh-29BT,6,4500,9.437184,0.554,0.626,0.604,0.635
1p46G-gemma-aquila-zh-29BT,6,500,1.048576,0.484,0.556,0.534,0.535
1p46G-gemma-aquila-zh-29BT,6,5000,10.48576,0.548,0.628,0.612,0.631
1p46G-gemma-aquila-zh-29BT,6,5500,11.534336,0.548,0.627,0.622,0.649
1p46G-gemma-aquila-zh-29BT,6,6000,12.582912,0.547,0.627,0.62,0.635
1p46G-gemma-aquila-zh-29BT,6,6500,13.631488,0.54,0.615,0.611,0.651
1p46G-gemma-aquila-zh-29BT,6,7000,14.680064,0.554,0.627,0.624,0.639
1p46G-gemma-aquila-zh-29BT,6,7500,15.72864,0.544,0.617,0.615,0.624
1p46G-gemma-aquila-zh-29BT,6,8000,16.777216,0.56,0.635,0.623,0.64
1p46G-gemma-aquila-zh-29BT,6,8500,17.825792,0.551,0.636,0.63,0.632
1p46G-gemma-aquila-zh-29BT,6,9000,18.874368,0.543,0.637,0.629,0.653
1p46G-gemma-aquila-zh-29BT,6,9500,19.922944,0.549,0.628,0.622,0.644
1p46G-gemma-orion-zh-29BT,6,0,0.0,0.449,0.534,0.523,0.53
1p46G-gemma-orion-zh-29BT,6,1000,2.097152,0.489,0.553,0.547,0.521
1p46G-gemma-orion-zh-29BT,6,10000,20.97152,0.514,0.584,0.5750000000000001,0.5730000000000001
1p46G-gemma-orion-zh-29BT,6,10500,22.020096,0.507,0.59,0.5690000000000001,0.577
1p46G-gemma-orion-zh-29BT,6,11000,23.068672,0.515,0.596,0.578,0.5720000000000001
1p46G-gemma-orion-zh-29BT,6,11500,24.117248,0.511,0.584,0.5730000000000001,0.578
1p46G-gemma-orion-zh-29BT,6,12000,25.165824,0.514,0.583,0.5700000000000001,0.5750000000000001
1p46G-gemma-orion-zh-29BT,6,12500,26.2144,0.517,0.581,0.5760000000000001,0.5720000000000001
1p46G-gemma-orion-zh-29BT,6,13000,27.262976,0.515,0.583,0.5740000000000001,0.5680000000000001
1p46G-gemma-orion-zh-29BT,6,13500,28.311552,0.511,0.581,0.5720000000000001,0.5700000000000001
1p46G-gemma-orion-zh-29BT,6,14000,29.360128,0.511,0.577,0.5730000000000001,0.5660000000000001
1p46G-gemma-orion-zh-29BT,6,1500,3.145728,0.509,0.5650000000000001,0.549,0.54
1p46G-gemma-orion-zh-29BT,6,2000,4.194304,0.502,0.561,0.543,0.547
1p46G-gemma-orion-zh-29BT,6,2500,5.24288,0.488,0.539,0.537,0.531
1p46G-gemma-orion-zh-29BT,6,3000,6.291456,0.5,0.562,0.55,0.53
1p46G-gemma-orion-zh-29BT,6,3500,7.340032,0.49,0.556,0.539,0.544
1p46G-gemma-orion-zh-29BT,6,4000,8.388608,0.51,0.5680000000000001,0.5700000000000001,0.557
1p46G-gemma-orion-zh-29BT,6,4500,9.437184,0.499,0.55,0.544,0.541
1p46G-gemma-orion-zh-29BT,6,500,1.048576,0.47600000000000003,0.545,0.532,0.5
1p46G-gemma-orion-zh-29BT,6,5000,10.48576,0.504,0.5710000000000001,0.5670000000000001,0.5670000000000001
1p46G-gemma-orion-zh-29BT,6,5500,11.534336,0.502,0.578,0.5650000000000001,0.5730000000000001
1p46G-gemma-orion-zh-29BT,6,6000,12.582912,0.503,0.5710000000000001,0.558,0.5670000000000001
1p46G-gemma-orion-zh-29BT,6,6500,13.631488,0.503,0.5740000000000001,0.558,0.56
1p46G-gemma-orion-zh-29BT,6,7000,14.680064,0.505,0.5760000000000001,0.562,0.553
